Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
decision_tree,0.7324343506032647,0.49595687331536387,0.4919786096256685,0.49395973154362416,0.6551602986385594
logistic_regression,0.8034066713981547,0.6520376175548589,0.5561497326203209,0.6002886002886003,0.8425120772946859
random_forest,0.7920511000709723,0.6302250803858521,0.5240641711229946,0.5722627737226277,0.8252861091735773
svm,0.7927608232789212,0.6443661971830986,0.4893048128342246,0.5562310030395137,0.7960551809656671
xgboost,0.7849538679914834,0.60790273556231,0.5347593582887701,0.5689900426742532,0.8214136247384329
